"cc_num","top_3_merchant_amount","total_card_amount","top_3_concentration_pct"
"3.88175E+13","2713.10","3023.40","89.74"
"4.73431E+15","2196.72","2494.25","88.07"
"3.75623E+14","2811.67","3273.02","85.90"
"5.01895E+11","3178.82","3741.75","84.96"
"3.54042E+15","3090.74","3671.14","84.19"
"4.2953E+12","3486.90","4272.48","81.61"
"3.52979E+15","3880.14","4788.19","81.04"
"3.40187E+14","1199.73","1496.10","80.19"
"4.35231E+18","3180.64","4253.58","74.78"
"3.54283E+15","3652.82","4976.26","73.40"
"3.54558E+15","2621.20","3595.25","72.91"
"4.08754E+15","3021.38","4175.17","72.37"
"3.52449E+15","3755.35","5342.77","70.29"
"5.30165E+15","2891.81","4175.17","69.26"
"3.55442E+15","931.90","1348.53","69.10"
"4.25711E+18","3228.07","4693.06","68.78"
"4.59803E+12","3013.49","4404.16","68.42"
"4.84424E+12","3981.19","5858.01","67.96"
"2.28728E+15","2843.90","4539.62","62.65"
"4.48117E+18","2915.16","4715.73","61.82"
"6.01183E+15","2859.22","4630.44","61.75"
"4.97546E+12","2455.17","4008.75","61.25"
"4.24352E+18","3022.27","4944.02","61.13"
"5.03851E+11","2867.86","4729.57","60.64"
"4.15721E+15","2928.94","4831.61","60.62"
"3.47399E+14","2853.31","4709.98","60.58"
"4.18019E+18","3076.48","5113.92","60.16"
"3.85342E+13","2852.86","4908.57","58.12"
"4.71402E+18","2797.13","4900.65","57.08"
"4.91182E+18","2725.76","4817.48","56.58"
"3.54644E+15","2832.33","5098.57","55.55"
"5.14404E+15","3863.67","7068.08","54.66"
"5.01851E+11","3505.79","6467.81","54.20"
"6.57778E+15","3260.90","6121.54","53.27"
"3.52804E+15","2651.03","5007.60","52.94"
"4.49268E+15","3018.18","5764.55","52.36"
"6.01173E+15","2940.09","5671.95","51.84"
"3.04083E+13","28289.86","56050.17","50.47"
"4.59357E+12","4197.67","8431.93","49.78"
"3.45226E+14","3058.62","6149.41","49.74"
"4.45749E+12","3065.50","6263.21","48.94"
"3.54734E+15","3148.54","6462.60","48.72"
"3.54871E+15","4015.74","8350.56","48.09"
"4.88341E+12","2996.61","6267.82","47.81"
"3.54389E+15","4034.64","8564.29","47.11"
"3.49813E+14","3166.05","6737.85","46.99"
"4.16287E+18","3223.48","6950.25","46.38"
"1.80099E+14","2945.91","6463.80","45.58"
"6.51778E+15","3179.14","7066.92","44.99"
"2.24218E+15","3078.70","6868.06","44.83"
"3.04997E+13","3060.74","7045.77","43.44"
"4.07617E+12","3390.52","7807.28","43.43"
"4.20424E+15","2919.64","6751.81","43.24"
"2.29596E+15","2940.67","6807.75","43.20"
"1.80021E+14","3417.24","7993.74","42.75"
"1.80038E+14","2814.30","6697.65","42.02"
"6.50025E+15","3020.19","7192.92","41.99"
"3.78263E+14","3004.30","7229.89","41.55"
"4.66956E+15","3002.99","7323.65","41.00"
"4.62913E+12","3411.43","8511.91","40.08"
"3.55041E+15","3134.24","7988.02","39.24"
"4.41768E+15","3139.25","8082.66","38.84"
"4.65963E+18","3155.05","8131.43","38.80"
"3.72965E+14","3330.38","8598.82","38.73"
"5.86101E+11","3784.48","9874.94","38.32"
"5.77891E+11","3342.17","8789.74","38.02"
"6.7618E+11","3036.25","8247.53","36.81"
"1.80053E+14","3020.60","8308.80","36.35"
"3.52126E+15","3135.36","9384.03","33.41"
"6.01194E+15","3339.25","10437.00","31.99"
"3.588E+15","3621.06","11641.22","31.11"
"4.63307E+15","14601.26","47901.51","30.48"
"4.72584E+18","24625.40","81106.41","30.36"
"4.1687E+15","3151.66","10404.97","30.29"
"6.75962E+11","16769.73","56965.14","29.44"
"6.7591E+11","33953.21","115671.81","29.35"
"4.43309E+15","14970.58","52730.24","28.39"
"3.5989E+15","15215.82","54949.65","27.69"
"4.37899E+15","31992.26","125321.08","25.53"
"3.01435E+13","28954.89","122463.33","23.64"
"3.59863E+15","9706.14","41934.89","23.15"
"6.53533E+15","11694.45","50839.03","23.00"
"4.49791E+18","24393.17","107746.86","22.64"
"3.58113E+15","11309.58","52220.26","21.66"
"3.56121E+15","9332.27","46222.07","20.19"
"3.58505E+15","20323.97","102217.01","19.88"
"3.46244E+14","8902.89","44812.82","19.87"
"3.43473E+14","16473.81","84128.33","19.58"
"3.53409E+15","10322.65","53284.89","19.37"
"4.07051E+15","17103.33","88972.07","19.22"
"3.50659E+15","18476.01","98133.18","18.83"
"4.97942E+15","33860.22","184389.82","18.36"
"4.79894E+18","8241.33","45065.07","18.29"
"4.80644E+12","8146.61","45342.48","17.97"
