cc_num,top_3_concentration_pct
38817500000000.0,89.74
4734310000000000.0,88.07
375623000000000.0,85.9
501895000000.0,84.96
3540420000000000.0,84.19
4295300000000.0,81.61
3529790000000000.0,81.04
340187000000000.0,80.19
4.35231e+18,74.78
3542830000000000.0,73.4
3545580000000000.0,72.91
4087540000000000.0,72.37
3524490000000000.0,70.29
5301650000000000.0,69.26
3554420000000000.0,69.1
4.25711e+18,68.78
4598030000000.0,68.42
4844240000000.0,67.96
2287280000000000.0,62.65
4.48117e+18,61.82
6011830000000000.0,61.75
4975460000000.0,61.25
4.24352e+18,61.13
503851000000.0,60.64
4157210000000000.0,60.62
347399000000000.0,60.58
4.18019e+18,60.16
38534200000000.0,58.12
4.71402e+18,57.08
4.91182e+18,56.58
3546440000000000.0,55.55
5144040000000000.0,54.66
501851000000.0,54.2
6577780000000000.0,53.27
3528040000000000.0,52.94
4492680000000000.0,52.36
6011730000000000.0,51.84
30408300000000.0,50.47
4593570000000.0,49.78
345226000000000.0,49.74
4457490000000.0,48.94
3547340000000000.0,48.72
3548710000000000.0,48.09
4883410000000.0,47.81
3543890000000000.0,47.11
349813000000000.0,46.99
4.16287e+18,46.38
180099000000000.0,45.58
6517780000000000.0,44.99
2242180000000000.0,44.83
30499700000000.0,43.44
4076170000000.0,43.43
4204240000000000.0,43.24
2295960000000000.0,43.2
180021000000000.0,42.75
180038000000000.0,42.02
6500250000000000.0,41.99
378263000000000.0,41.55
4669560000000000.0,41.0
4629130000000.0,40.08
3550410000000000.0,39.24
4417680000000000.0,38.84
4.65963e+18,38.8
372965000000000.0,38.73
586101000000.0,38.32
577891000000.0,38.02
676180000000.0,36.81
180053000000000.0,36.35
3521260000000000.0,33.41
6011940000000000.0,31.99
3588000000000000.0,31.11
4633070000000000.0,30.48
4.72584e+18,30.36
4168700000000000.0,30.29
675962000000.0,29.44
675910000000.0,29.35
4433090000000000.0,28.39
3598900000000000.0,27.69
4378990000000000.0,25.53
30143500000000.0,23.64
3598630000000000.0,23.15
6535330000000000.0,23.0
4.49791e+18,22.64
3581130000000000.0,21.66
3561210000000000.0,20.19
3585050000000000.0,19.88
346244000000000.0,19.87
343473000000000.0,19.58
3534090000000000.0,19.37
4070510000000000.0,19.22
3506590000000000.0,18.83
4979420000000000.0,18.36
4.79894e+18,18.29
4806440000000.0,17.97
4440580000000.0,17.86
2264940000000000.0,17.46
4412720000000000.0,17.13
4158010000000.0,17.05
4969860000000000.0,16.4
3501370000000000.0,16.38
30434200000000.0,16.36
4767270000000000.0,16.17
4450830000000000.0,16.05
5540640000000000.0,15.78
5359540000000000.0,15.74
3554850000000000.0,15.28
30541100000000.0,15.27
371009000000000.0,15.21
3592330000000000.0,15.15
30491300000000.0,15.14
30235300000000.0,15.09
4383520000000.0,15.07
4260060000000000.0,15.04
4.50254e+18,15.02
6011230000000000.0,14.93
4335530000000000.0,14.84
373213000000000.0,14.56
4158760000000000.0,14.32
2231190000000000.0,14.23
2576710000000000.0,14.14
4509920000000000.0,13.91
4129770000000000.0,13.88
4687260000000.0,13.84
4605900000000.0,13.65
3575540000000000.0,13.4
30546500000000.0,13.36
501883000000.0,13.34
4.662e+18,13.3
5289290000000000.0,13.29
2285070000000000.0,13.27
377550000000000.0,13.22
3565200000000000.0,13.15
4807550000000.0,13.13
630426000000.0,13.06
6528910000000000.0,12.99
4.97353e+18,12.97
4228410000000000.0,12.94
675946000000.0,12.82
346208000000000.0,12.81
2248350000000000.0,12.66
60487002085.0,12.55
2288750000000000.0,12.43
676282000000.0,12.4
6526450000000000.0,12.33
4384910000000000.0,12.3
375768000000000.0,12.2
379141000000000.0,12.08
348254000000000.0,12.03
6554250000000000.0,11.99
30143700000000.0,11.81
370819000000000.0,11.75
3562680000000000.0,11.75
3596360000000000.0,11.74
377835000000000.0,11.69
502050000000.0,11.64
30596500000000.0,11.62
4.31213e+18,11.59
4.7973e+18,11.58
2358120000000000.0,11.56
4505380000000.0,11.56
6011480000000000.0,11.52
30407700000000.0,11.42
3501510000000000.0,11.41
2286240000000000.0,11.36
3568260000000000.0,11.25
2222160000000000.0,11.23
3530500000000000.0,11.19
4306590000000000.0,11.18
60423098130.0,11.15
5559860000000000.0,11.15
3565940000000000.0,11.14
4634960000000000.0,11.06
4189810000000.0,11.0
3566000000000000.0,10.95
4048510000000000.0,10.94
571314000000.0,10.93
3585740000000000.0,10.93
3563840000000000.0,10.87
4124540000000000.0,10.82
3500170000000000.0,10.66
379897000000000.0,10.64
6011580000000000.0,10.58
4067140000000000.0,10.56
3513290000000000.0,10.54
213137000000000.0,10.5
6592240000000000.0,10.47
630452000000.0,10.44
36360500000000.0,10.4
377265000000000.0,10.39
30446000000000.0,10.31
30042400000000.0,10.3
2256230000000000.0,10.28
371034000000000.0,10.27
4683520000000000.0,10.22
213157000000000.0,10.21
30360300000000.0,10.21
676308000000.0,10.16
38057500000000.0,10.11
30242900000000.0,10.06
4099710000000000.0,9.98
4425160000000000.0,9.98
4.22622e+18,9.95
