cc_num,high_velocity_days
6011370000000000.0,249
4302480000000000.0,163
4364010000000000.0,103
2720430000000000.0,100
213179000000000.0,99
4.58766e+18,94
4746000000000.0,91
6538440000000000.0,91
30273000000000.0,91
3545110000000000.0,89
6534630000000000.0,89
4586810000000000.0,89
372520000000000.0,87
2242540000000000.0,81
3583640000000000.0,79
344710000000000.0,79
2712210000000000.0,79
213174000000000.0,77
180048000000000.0,77
6011110000000000.0,77
6011890000000000.0,76
213161000000000.0,76
3576430000000000.0,75
4642260000000000.0,74
180065000000000.0,73
3566090000000000.0,72
36722700000000.0,71
4939980000000000.0,70
6011440000000000.0,70
213142000000000.0,70
3590740000000000.0,69
3560800000000000.0,69
571365000000.0,68
4837000000000000.0,68
4904680000000000.0,68
4716560000000000.0,66
213112000000000.0,65
3567700000000000.0,65
3521420000000000.0,65
3576020000000000.0,65
630425000000.0,65
30270400000000.0,64
6011650000000000.0,64
4908850000000000.0,64
345934000000000.0,63
3551220000000000.0,63
6538890000000000.0,63
180094000000000.0,63
6011690000000000.0,62
630423000000.0,62
3533740000000000.0,62
3518670000000000.0,62
30238800000000.0,62
342952000000000.0,62
2264940000000000.0,61
3541160000000000.0,61
3596220000000000.0,60
6011500000000000.0,60
4653880000000000.0,60
3553630000000000.0,60
2283740000000000.0,60
4.79263e+18,59
376445000000000.0,59
372509000000000.0,58
630452000000.0,57
3518230000000000.0,55
4.51283e+18,55
38052000000000.0,52
3500970000000000.0,51
3556610000000000.0,51
3575790000000000.0,50
373905000000000.0,49
4.86131e+18,48
3502090000000000.0,45
36913600000000.0,44
4681600000000000.0,43
180047000000000.0,42
4.95683e+18,41
30044300000000.0,41
3586010000000000.0,41
567868000000.0,41
30551600000000.0,40
3529600000000000.0,39
213158000000000.0,39
30235400000000.0,38
6011680000000000.0,38
6011390000000000.0,38
30199600000000.0,38
3506040000000000.0,38
3531130000000000.0,38
30131800000000.0,37
2254920000000000.0,37
340954000000000.0,36
6011100000000000.0,36
3595190000000000.0,36
581686000000.0,36
180031000000000.0,36
4.537e+18,36
503874000000.0,35
5540640000000000.0,35
6011720000000000.0,35
3543590000000000.0,35
4.7973e+18,35
4681700000000.0,35
180068000000000.0,35
4003990000000000.0,34
4.64685e+18,34
639024000000.0,34
3501940000000000.0,33
346273000000000.0,33
2296010000000000.0,33
180036000000000.0,33
3598220000000000.0,33
3525590000000000.0,32
377027000000000.0,32
4099710000000000.0,32
3589260000000000.0,32
371226000000000.0,32
370877000000000.0,32
676373000000.0,31
6011350000000000.0,31
3511380000000000.0,30
374930000000000.0,30
4561550000000.0,30
3587960000000000.0,30
213157000000000.0,29
3527540000000000.0,29
4755700000000.0,29
4170690000000000.0,29
4.90663e+18,29
4900630000000.0,29
4464460000000.0,28
3589290000000000.0,28
30235000000000.0,28
4452370000000000.0,28
4005680000000000.0,27
36485900000000.0,26
6517220000000000.0,24
30561200000000.0,22
502013000000.0,21
180085000000000.0,20
4642890000000.0,20
30074700000000.0,20
3577580000000000.0,20
4.18183e+18,20
3560730000000000.0,20
38580500000000.0,20
4998110000000000.0,19
30030400000000.0,19
676369000000.0,19
374498000000000.0,19
4990490000000.0,19
4.76943e+18,19
4640400000000.0,19
30428200000000.0,18
3513620000000000.0,18
3564840000000000.0,18
6506120000000000.0,18
6011400000000000.0,18
4446370000000000.0,18
4334230000000000.0,18
4509140000000000.0,18
4294930000000.0,18
3582750000000000.0,17
4708990000000000.0,17
4155020000000000.0,17
2703190000000000.0,17
213181000000000.0,17
4873780000000000.0,17
6597890000000000.0,17
3546900000000000.0,17
3559160000000000.0,16
180043000000000.0,16
377234000000000.0,16
4634960000000000.0,16
630469000000.0,16
584674000000.0,16
6011860000000000.0,16
3534330000000000.0,16
2383460000000000.0,16
4198470000000.0,16
3567880000000000.0,16
4.73685e+18,16
4841310000000000.0,16
2297450000000000.0,16
4430880000000000.0,15
2266740000000000.0,15
375248000000000.0,15
371284000000000.0,15
4449530000000000.0,15
2248740000000000.0,15
4988300000000.0,15
180049000000000.0,15
3526830000000000.0,15
4.81084e+18,15
630442000000.0,15
4.09245e+18,15
630485000000.0,15
4997730000000000.0,15
38530500000000.0,15
38295600000000.0,15
4586260000000.0,15
377114000000000.0,15
3568260000000000.0,15
3514870000000000.0,15
3512370000000000.0,15
4069980000000000.0,15
4671730000000000.0,15
4658490000000000.0,15
5456780000000000.0,14
4265780000000000.0,14
4451950000000000.0,14
377993000000000.0,14
3501510000000000.0,14
3560320000000000.0,14
676102000000.0,14
4.99235e+18,14
4500000000000.0,14
375975000000000.0,14
4149640000000.0,14
30118400000000.0,14
4862290000000.0,14
4623560000000.0,14
4809700000000.0,14
36078100000000.0,13
348790000000000.0,13
4476840000000.0,13
4839620000000000.0,13
571465000000.0,13
2252060000000000.0,13
4629450000000000.0,13
30197400000000.0,13
4.40001e+18,13
3523840000000000.0,13
5359540000000000.0,13
4.31958e+18,13
4951650000000000.0,13
3540080000000000.0,13
4079770000000.0,13
30501600000000.0,13
676195000000.0,13
6011540000000000.0,13
2235610000000000.0,13
38588500000000.0,13
180011000000000.0,13
4424340000000000.0,13
3598300000000000.0,12
4.45773e+18,12
3573030000000000.0,12
4.22371e+18,12
4.46978e+18,12
30407700000000.0,12
6011150000000000.0,12
376028000000000.0,12
3596360000000000.0,12
30026800000000.0,12
3585740000000000.0,11
4377340000000000.0,11
6011380000000000.0,11
4.85549e+18,11
4.12873e+18,11
3583790000000000.0,11
213194000000000.0,11
4.5604e+18,11
30176000000000.0,11
4.30103e+18,11
573860000000.0,11
4147610000000000.0,11
4149240000000000.0,11
4158950000000000.0,11
4450830000000000.0,11
371009000000000.0,11
345389000000000.0,11
4587580000000000.0,11
2720010000000000.0,11
30029100000000.0,11
4514240000000000.0,10
4378990000000000.0,10
4979420000000000.0,10
4.2929e+18,10
213153000000000.0,10
675990000000.0,10
30518200000000.0,10
