cc_num,fraud_pre,fraud_post,fraud_delta
4.72584e+18,0.0,5.78,5.78
4874010000000000.0,0.0,5.61,5.61
675962000000.0,0.0,5.56,5.56
30011500000000.0,0.0,5.5,5.5
676276000000.0,0.0,5.36,5.36
4026220000000.0,0.0,5.34,5.34
6597250000000000.0,0.0,5.3,5.3
570273000000.0,0.0,4.89,4.89
30510900000000.0,0.0,4.76,4.76
3527060000000000.0,0.0,4.64,4.64
38014400000000.0,0.0,4.58,4.58
6011980000000000.0,0.0,4.53,4.53
4335530000000000.0,0.0,4.53,4.53
60495593109.0,0.0,4.49,4.49
378006000000000.0,0.0,4.46,4.46
4103160000000.0,0.0,4.44,4.44
4713460000000000.0,0.0,4.37,4.37
501883000000.0,0.0,4.35,4.35
2454080000000000.0,0.0,4.25,4.25
3530500000000000.0,0.0,4.07,4.07
6593940000000000.0,0.0,3.99,3.99
375237000000000.0,0.0,3.92,3.92
6011480000000000.0,0.0,3.86,3.86
3501370000000000.0,0.0,3.85,3.85
4412720000000000.0,0.0,3.79,3.79
4698160000000000.0,0.0,3.62,3.62
30042400000000.0,0.0,3.56,3.56
4.46204e+18,0.0,3.51,3.51
376944000000000.0,0.0,3.46,3.46
36581500000000.0,0.0,3.45,3.45
3576280000000000.0,0.0,3.42,3.42
377835000000000.0,0.0,3.42,3.42
30570200000000.0,0.0,3.37,3.37
4.24495e+18,0.0,3.37,3.37
3581130000000000.0,0.0,3.37,3.37
3582400000000000.0,0.0,3.35,3.35
346244000000000.0,0.0,3.34,3.34
581508000000.0,0.0,3.21,3.21
4599290000000000.0,0.0,3.19,3.19
560881000000.0,0.0,3.18,3.18
573284000000.0,0.0,3.17,3.17
4228410000000000.0,0.0,3.14,3.14
2714020000000000.0,0.0,3.12,3.12
30434200000000.0,0.0,3.09,3.09
5410060000000000.0,0.0,3.08,3.08
3540020000000000.0,0.0,3.04,3.04
30357400000000.0,0.0,3.02,3.02
4605900000000.0,0.0,3.0,3.0
3579200000000000.0,0.0,2.99,2.99
4767270000000000.0,0.0,2.95,2.95
3577790000000000.0,0.0,2.91,2.91
38859500000000.0,0.0,2.9,2.9
2358120000000000.0,0.0,2.89,2.89
348254000000000.0,0.0,2.88,2.88
3528230000000000.0,0.0,2.83,2.83
4972230000000000.0,0.0,2.8,2.8
4.98985e+18,0.0,2.74,2.74
60487002085.0,0.0,2.72,2.72
30541100000000.0,0.0,2.7,2.7
4561370000000000.0,0.0,2.69,2.69
2222160000000000.0,0.0,2.64,2.64
3500170000000000.0,0.0,2.6,2.6
341543000000000.0,0.0,2.58,2.58
2284060000000000.0,0.0,2.49,2.49
30033200000000.0,0.0,2.45,2.45
3585050000000000.0,0.0,2.42,2.42
343819000000000.0,0.0,2.37,2.37
180046000000000.0,0.0,2.33,2.33
378858000000000.0,0.0,2.26,2.26
4195740000000.0,0.0,2.25,2.25
30487600000000.0,0.0,2.24,2.24
30491300000000.0,0.0,2.23,2.23
3543300000000000.0,0.0,2.2,2.2
30376200000000.0,0.0,2.19,2.19
3513510000000000.0,0.0,2.19,2.19
4740710000000000.0,0.0,2.16,2.16
4509920000000000.0,0.0,2.15,2.15
4.42878e+18,0.0,2.15,2.15
4518350000000000.0,0.0,2.15,2.15
30546500000000.0,0.0,2.14,2.14
4961000000000000.0,0.0,2.11,2.11
3533180000000000.0,0.0,2.09,2.09
3525670000000000.0,0.0,2.08,2.08
639046000000.0,0.0,2.03,2.03
3560340000000000.0,0.0,2.02,2.02
4561890000000.0,0.0,2.01,2.01
341283000000000.0,0.0,1.95,1.95
4129770000000000.0,0.0,1.92,1.92
371034000000000.0,0.0,1.9,1.9
3586960000000000.0,0.0,1.88,1.88
6596740000000000.0,0.0,1.87,1.87
4657270000000000.0,0.0,1.87,1.87
4306590000000000.0,0.0,1.86,1.86
370612000000000.0,0.0,1.82,1.82
3564180000000000.0,0.0,1.81,1.81
6506980000000000.0,0.0,1.8,1.8
4.22599e+18,0.0,1.79,1.79
4.7614e+18,0.0,1.77,1.77
213103000000000.0,0.0,1.73,1.73
4.71083e+18,0.0,1.72,1.72
4481130000000.0,0.0,1.71,1.71
4710790000000000.0,0.0,1.67,1.67
3563840000000000.0,0.0,1.67,1.67
370349000000000.0,0.0,1.67,1.67
4607070000000000.0,0.0,1.66,1.66
372382000000000.0,0.0,1.63,1.63
349613000000000.0,0.0,1.62,1.62
4.06309e+18,0.0,1.62,1.62
4725670000000000.0,0.0,1.57,1.57
4195830000000000.0,0.0,1.57,1.57
571844000000.0,0.0,1.54,1.54
376657000000000.0,0.0,1.54,1.54
2229380000000000.0,0.0,1.54,1.54
4807550000000.0,0.0,1.53,1.53
5456710000000000.0,0.0,1.53,1.53
3587040000000000.0,0.0,1.53,1.53
4104310000000000.0,0.0,1.52,1.52
501831000000.0,0.0,1.52,1.52
30560600000000.0,0.0,1.45,1.45
180040000000000.0,2.54,3.99,1.45
3501940000000000.0,0.0,1.43,1.43
213181000000000.0,0.0,1.43,1.43
4839040000000000.0,0.0,1.43,1.43
377550000000000.0,0.0,1.42,1.42
6554250000000000.0,0.0,1.41,1.41
4586260000000.0,0.0,1.4,1.4
4471570000000.0,0.0,1.4,1.4
375975000000000.0,0.0,1.39,1.39
3597930000000000.0,0.0,1.39,1.39
2475090000000000.0,0.0,1.38,1.38
3551510000000000.0,0.0,1.34,1.34
375083000000000.0,0.0,1.33,1.33
6011490000000000.0,0.0,1.32,1.32
30242900000000.0,0.0,1.32,1.32
3573390000000000.0,0.0,1.32,1.32
4505380000000.0,0.0,1.31,1.31
213161000000000.0,0.0,1.3,1.3
4427810000000.0,0.0,1.29,1.29
343669000000000.0,0.0,1.29,1.29
3591920000000000.0,0.0,1.29,1.29
374125000000000.0,0.0,1.28,1.28
6595970000000000.0,0.0,1.28,1.28
376013000000000.0,0.0,1.27,1.27
6573560000000000.0,0.0,1.26,1.26
2297450000000000.0,0.0,1.26,1.26
4119760000000000.0,0.0,1.26,1.26
30290600000000.0,0.0,1.25,1.25
676314000000.0,0.0,1.25,1.25
375534000000000.0,0.0,1.2,1.2
4.5604e+18,0.0,1.19,1.19
3534330000000000.0,0.0,1.19,1.19
4.37926e+18,0.0,1.18,1.18
4623560000000.0,0.0,1.18,1.18
676282000000.0,0.0,1.17,1.17
4.22371e+18,0.0,1.17,1.17
6544730000000000.0,0.0,1.16,1.16
676174000000.0,0.0,1.16,1.16
30199600000000.0,0.0,1.16,1.16
343746000000000.0,0.0,1.16,1.16
38544300000000.0,0.0,1.16,1.16
30197400000000.0,0.0,1.15,1.15
6564460000000000.0,0.0,1.15,1.15
3524570000000000.0,0.0,1.14,1.14
4988300000000.0,0.0,1.14,1.14
676369000000.0,0.0,1.13,1.13
38530500000000.0,0.0,1.13,1.13
4198470000000.0,0.0,1.13,1.13
6012000000000000.0,0.0,1.12,1.12
30235300000000.0,0.0,1.12,1.12
2268220000000000.0,0.0,1.12,1.12
2713910000000000.0,0.0,1.11,1.11
378905000000000.0,0.0,1.11,1.11
3514900000000000.0,0.0,1.1,1.1
583699000000.0,0.0,1.1,1.1
30029100000000.0,0.0,1.09,1.09
4658490000000000.0,0.0,1.09,1.09
6011920000000000.0,0.0,1.08,1.08
3514870000000000.0,0.0,1.08,1.08
4653880000000000.0,0.0,1.07,1.07
4.18183e+18,0.0,1.06,1.06
4997730000000000.0,0.0,1.05,1.05
4.29274e+18,0.0,1.05,1.05
374498000000000.0,0.0,1.04,1.04
4229730000000000.0,0.0,1.04,1.04
4.7973e+18,0.0,1.04,1.04
213112000000000.0,0.0,1.03,1.03
6538440000000000.0,0.0,1.02,1.02
3535810000000000.0,0.0,1.02,1.02
344342000000000.0,0.0,1.02,1.02
2703190000000000.0,0.0,1.02,1.02
4476840000000.0,0.0,1.01,1.01
6538890000000000.0,0.0,1.01,1.01
30093000000000.0,0.0,1.01,1.01
4935860000000000.0,0.0,1.01,1.01
6534630000000000.0,0.0,0.97,0.97
4099710000000000.0,0.0,0.97,0.97
4904680000000000.0,0.0,0.97,0.97
376445000000000.0,0.0,0.96,0.96
577589000000.0,0.0,0.94,0.94
3598300000000000.0,0.0,0.94,0.94
371985000000000.0,0.0,0.94,0.94
4874020000000000.0,0.0,0.93,0.93
2233880000000000.0,0.0,0.93,0.93
3589260000000000.0,0.0,0.92,0.92
30270400000000.0,0.0,0.91,0.91
3596220000000000.0,0.0,0.9,0.9
345389000000000.0,0.0,0.89,0.89
180048000000000.0,0.0,0.89,0.89
4066600000000.0,0.0,0.88,0.88
3586010000000000.0,0.0,0.88,0.88
4727240000000000.0,0.0,0.88,0.88
4.51283e+18,0.0,0.87,0.87
