"cc_num","total_transactions","fraud_count"
"1.80047E+14","3194","25"
"2.13174E+14","3781","24"
"3.50604E+15","3169","23"
"1.80068E+14","3167","22"
"6.01138E+15","2575","22"
"2.13161E+14","3795","21"
"1.80085E+14","2569","21"
"3.05182E+13","2565","21"
"1.8004E+14","656","21"
"4.30248E+15","5064","20"
"1.80065E+14","3805","20"
"4.59357E+12","19","19"
"4.59929E+15","1241","19"
"3.52055E+15","1261","19"
"6.01115E+15","2568","19"
"6.53844E+15","3777","18"
"4.26013E+12","1894","18"
"4.72584E+18","643","16"
"4.62945E+15","1899","16"
"2.22767E+15","635","16"
"2.13112E+14","3829","16"
"3.57554E+15","1905","16"
"6.01137E+15","6317","16"
"3.57779E+15","1285","16"
"3.55661E+15","3188","16"
"6.53889E+15","3810","16"
"4.87401E+15","642","16"
"3.00115E+13","648","16"
"3.51867E+15","3163","16"
"3.00747E+13","2555","16"
"2.72043E+15","3826","16"
"6.30426E+11","1914","15"
"4.21008E+18","1888","15"
"3.71226E+14","3175","15"
"3.70612E+14","1912","15"
"5.01851E+11","15","15"
"3.50097E+15","3127","15"
"3.50194E+15","2520","15"
"2.13113E+14","1909","15"
"4.98985E+18","1262","15"
"6.50612E+15","2542","15"
"4.58626E+12","2563","15"
"3.67214E+13","1916","15"
"4.1687E+15","15","15"
"6.7599E+11","2558","15"
"3.02704E+13","3842","15"
"2.24254E+15","3741","15"
"2.24835E+15","1280","15"
"4.63307E+15","641","15"
"3.56788E+15","2517","15"
"3.51923E+15","1276","15"
"6.01169E+15","3190","15"
"3.52126E+15","15","15"
"6.53463E+15","3813","15"
"3.52384E+15","2596","15"
"4.29404E+15","1922","15"
"4.36401E+15","3820","15"
"3.41546E+14","1900","15"
"2.38346E+15","2578","15"
"4.29493E+12","2530","15"
"4.90468E+15","3807","15"
"6.59725E+15","646","15"
"3.52823E+15","1287","15"
"2.13187E+14","1246","15"
"3.4236E+14","651","15"
"3.05016E+13","2540","15"
"5.1549E+15","651","15"
"3.53409E+15","645","15"
"3.76445E+14","3786","15"
"3.75975E+14","2547","15"
"2.13181E+14","2530","15"
"4.92638E+15","1895","15"
