"cc_num","avg_time_trans"
"4.59357E+12","01:24:30"
"3.54871E+15","02:34:05.454545"
"5.86101E+11","02:39:49.090909"
"5.30165E+15","02:42:24"
"3.75623E+14","02:46:13.333333"
"6.01137E+15","02:46:38.017733"
"3.52979E+15","02:48:26.666667"
"3.52126E+15","03:07:08.571429"
"6.50025E+15","03:10:15"
"4.1687E+15","03:15:12.857143"
"4.62913E+12","03:15:27.272727"
"5.01851E+11","03:17:21.428571"
"4.2953E+12","03:19:00"
"4.88341E+12","03:19:00"
"4.45749E+12","03:19:06.666667"
"3.54042E+15","03:26:25.714286"
"4.30248E+15","03:27:51.846731"
"1.80021E+14","03:38:16.363636"
"3.588E+15","03:39:50.769231"
"2.29596E+15","03:46:00"
"5.77891E+11","03:46:00"
"4.08754E+15","03:46:07.5"
"1.80053E+14","03:48:32.727273"
"3.54558E+15","03:51:00"
"2.13179E+14","03:57:44.766208"
"4.20424E+15","03:59:35"
"3.04997E+13","04:02:10.909091"
"4.65963E+18","04:10:16.363636"
"6.51778E+15","04:13:00"
"4.07617E+12","04:13:16.363636"
"3.54644E+15","04:17:05.454545"
"1.80099E+14","04:18:21.818182"
"3.52804E+15","04:21:48"
"3.54389E+15","04:30:42"
"3.78263E+14","04:33:06"
"3.58364E+15","04:33:39.719189"
"3.4471E+14","04:33:49.5625"
"4.18019E+18","04:33:54"
"3.02704E+13","04:33:59.359542"
"3.49813E+14","04:34:51.428571"
"2.13112E+14","04:34:57.931035"
"3.55041E+15","04:35:00"
"2.72043E+15","04:35:07.592157"
"3.5608E+15","04:35:20.832678"
"3.52449E+15","04:35:30"
"3.57643E+15","04:35:30.706806"
"4.36401E+15","04:35:32.757267"
"6.30423E+11","04:35:41.597695"
"1.80094E+14","04:35:57.040923"
"1.80048E+14","04:35:57.939171"
"6.53463E+15","04:36:04.359916"
"6.0115E+15","04:36:09.446339"
"6.53889E+15","04:36:10.679968"
"6.30425E+11","04:36:12.872899"
"4.90468E+15","04:36:23.284287"
"6.01144E+15","04:36:25.468873"
"4.64226E+15","04:36:29.188338"
"1.80065E+14","04:36:36.971609"
"6.01165E+15","04:36:58.767773"
"3.72509E+14","04:37:17.095414"
"4.71656E+15","04:37:17.149631"
"2.13161E+14","04:37:21.618345"
"6.01111E+15","04:37:28.623418"
"3.52142E+15","04:37:41.901743"
"4.90885E+15","04:37:48.066561"
"3.67227E+13","04:37:49.902246"
"2.71221E+15","04:37:51.066526"
"3.76445E+14","04:37:52.882431"
"3.42952E+14","04:38:07.930214"
"3.45934E+14","04:38:08.220048"
"2.13142E+14","04:38:09.783298"
"3.54511E+15","04:38:10.235388"
"4.79263E+18","04:38:12.43186"
"6.30452E+11","04:38:14.190477"
"2.13174E+14","04:38:19.952381"
"6.01189E+15","04:38:24.571429"
"6.53844E+15","04:38:31.747882"
"3.57579E+15","04:38:34.605611"
"5.71365E+11","04:39:04.836914"
"4.93998E+15","04:39:05.458886"
"4.746E+12","04:39:09.453581"
"3.55122E+15","04:39:22.83059"
"3.7252E+14","04:39:23.614138"
"4.51283E+18","04:39:24.050969"
"4.58766E+18","04:39:26.702071"
"3.56609E+15","04:39:27.355284"
"3.02388E+13","04:39:33.124336"
"3.55363E+15","04:39:34.647888"
"4.58681E+15","04:39:40.877193"
"3.59622E+15","04:40:01.69239"
"3.54734E+15","04:40:24"
"4.837E+15","04:40:32.096"
"2.24254E+15","04:41:22.15508"
"4.41768E+15","04:41:30"
"4.49268E+15","04:41:42"
"3.59074E+15","04:42:14.002146"
"6.01194E+15","04:42:36"
"3.0273E+13","04:43:37.461601"
"6.7618E+11","04:45:00"
"3.54283E+15","04:50:20"
"2.24218E+15","04:51:33.333333"
"4.84424E+12","04:54:40"
"4.25711E+18","04:54:53.333333"
"4.24352E+18","04:55:15"
"4.16287E+18","04:55:33.333333"
"5.14404E+15","04:58:53.333333"
"1.80038E+14","05:05:06.666667"
"3.45226E+14","05:05:40"
"5.03851E+11","05:06:00"
"4.66956E+15","05:08:33.333333"
"3.72965E+14","05:09:33.333333"
"3.47399E+14","05:18:06.666667"
"3.51823E+15","05:27:44.453441"
"3.52559E+15","05:28:14.00749"
"1.80031E+14","05:28:20.012492"
"3.53113E+15","05:28:49.4625"
"3.5296E+15","05:28:57.918099"
"3.59519E+15","05:29:18.535212"
"1.80047E+14","05:29:29.990604"
"3.69136E+13","05:29:37.68797"
"6.01169E+15","05:29:45.098777"
"3.70877E+14","05:29:59.247177"
"3.55661E+15","05:30:06.250392"
"3.54359E+15","05:30:24"
"4.64685E+18","05:30:27.342965"
"3.73905E+14","05:30:31.677136"
"4.90063E+12","05:30:35.007859"
"6.76373E+11","05:30:38.473139"
"5.81686E+11","05:30:42.954117"
"4.95683E+18","05:30:54.320755"
"3.5677E+15","05:31:09.8017"
"4.537E+18","05:31:22.337007"
"4.90663E+18","05:31:23.788213"
"3.77027E+14","05:31:28.195275"
"3.71226E+14","05:31:28.657845"
"2.25492E+15","05:31:31.304347"
"2.13158E+14","05:31:34.869208"
"6.01172E+15","05:31:39.924314"
"3.58929E+15","05:31:44.436731"
"1.80036E+14","05:32:01.514673"
"3.50604E+15","05:32:10.738637"
"5.67868E+11","05:32:14.597156"
"1.80068E+14","05:32:23.291219"
"3.00443E+13","05:32:24.682465"
"3.52754E+15","05:32:31.432185"
"3.05516E+13","05:32:35.901329"
"3.8052E+13","05:32:36.216387"
"3.51867E+15","05:32:36.261859"
"3.40954E+14","05:32:36.409608"
"2.26494E+15","05:32:36.864728"
"4.00399E+15","05:32:37.893738"
"5.03874E+11","05:32:54.59032"
"4.6817E+12","05:32:56.336602"
"3.57602E+15","05:33:03.229892"
"3.50209E+15","05:33:03.322784"
"2.28374E+15","05:33:10.186886"
"3.01318E+13","05:33:15.741445"
"4.86131E+18","05:33:16.007605"
"2.13157E+14","05:33:18.460076"
"3.58601E+15","05:33:26.176284"
"3.58926E+15","05:33:34.576593"
"4.09971E+15","05:33:37.742549"
"3.7493E+14","05:33:42.574508"
"4.18183E+18","05:33:43.795621"
"3.46273E+14","05:33:45.299905"
"6.01135E+15","05:33:46.747064"
"3.01996E+13","05:33:52.054621"
"4.45237E+15","05:34:05.485715"
"3.02354E+13","05:34:16.941177"
"3.51138E+15","05:34:19.974587"
"3.53374E+15","05:34:21.08675"
"5.54064E+15","05:34:24.103053"
"4.7557E+12","05:34:25.984102"
"4.7973E+18","05:34:31.63116"
"6.01139E+15","05:34:37.468998"
"4.56155E+12","05:34:40.967229"
"4.65388E+15","05:34:45.973282"
"6.0111E+15","05:34:47.190582"
"4.00568E+15","05:34:53.749602"
"3.0235E+13","05:35:16.596559"
"6.01168E+15","05:35:25.982143"
"6.39024E+11","05:35:27.780612"
"6.57778E+15","05:35:50"
"3.50097E+15","05:36:21.554702"
"3.54116E+15","05:36:41.650672"
"4.6816E+15","05:36:57.232543"
"4.17069E+15","05:38:03.587271"
"4.46446E+12","05:38:22.367321"
"3.59822E+15","05:38:25.311897"
"2.28728E+15","05:40:22.5"
"4.91182E+18","05:44:37.5"
"4.59803E+12","05:50:30"
"6.01183E+15","05:53:45"
"3.85342E+13","05:53:45"
"4.15721E+15","06:08:51.428571"
"3.88175E+13","06:22:00"
"4.48117E+18","06:34:42.857143"
"3.55442E+15","06:44:25.714286"
"3.52384E+15","06:45:06.080924"
"4.64289E+12","06:46:31.47161"
"2.38346E+15","06:47:51.734575"
"6.01138E+15","06:48:42.144523"
"4.5E+12","06:49:11.392996"
"1.80085E+14","06:49:29.158878"
"4.40001E+18","06:49:34.682756"
"6.01115E+15","06:49:55.138294"
"3.05182E+13","06:50:14.040562"
"5.7386E+11","06:50:17.79165"
"3.85805E+13","06:50:34.941452"
"4.42434E+15","06:50:38.173302"
"4.58626E+12","06:50:39.601874"
"6.76369E+11","06:51:01.89918"
"4.15502E+15","06:51:03.985932"
"6.30485E+11","06:51:07.033997"
"3.01974E+13","06:51:09.706917"
"4.68364E+12","06:51:25.895231"
"6.7599E+11","06:51:27.688698"
"4.09245E+18","06:51:35.80721"
"4.62356E+12","06:51:42.629108"
"3.77114E+14","06:51:56.84953"
"2.70319E+15","06:52:01.10415"
"3.00747E+13","06:52:08.762725"
"3.56484E+15","06:52:14.511189"
"4.99235E+18","06:52:19.709917"
"4.31958E+18","06:52:22.829153"
"4.58758E+15","06:52:25.162809"
"3.4879E+14","06:52:35.105882"
"3.75534E+14","06:52:36.338691"
"3.60781E+13","06:52:39.011764"
"3.74498E+14","06:52:39.324961"
"2.29745E+15","06:52:42.598116"
"4.99049E+12","06:52:43.045526"
"3.5983E+15","06:52:45.335426"
"1.80011E+14","06:52:51.313926"
"3.5469E+15","06:53:00.400471"
"1.80043E+14","06:53:00.77708"
"3.75975E+14","06:53:02.710134"
"3.04077E+13","06:53:06.87868"
"4.81084E+18","06:53:13.249509"
"4.5604E+18","06:53:28.314342"
"4.50914E+15","06:53:32.840865"
"4.07977E+12","06:53:33.61886"
"4.06998E+15","06:53:35.344082"
"6.50612E+15","06:53:48.40614"
"4.8097E+12","06:53:48.902007"
"3.0176E+13","06:53:50.298978"
"4.47684E+12","06:53:54.569068"
"3.57758E+15","06:53:59.433517"
"2.23561E+15","06:53:59.598741"
"4.30103E+18","06:54:03.023622"
"3.05016E+13","06:54:12.028357"
"3.77993E+14","06:54:12.331361"
"3.77234E+14","06:54:17.281324"
