"cc_num","first_time_activity","last_time_activity"
"60495593109","2019-01-01 00:39:00","2020-12-31 13:24:00"
"60490596305","2019-01-01 12:31:00","2020-12-31 23:12:00"
"60487002085","2019-01-06 03:23:00","2020-12-31 21:41:00"
"60427851591","2019-01-01 07:36:00","2020-12-30 20:45:00"
"60423098130","2019-01-01 06:48:00","2020-12-31 01:48:00"
"60422928733","2019-01-03 18:38:00","2020-12-31 22:18:00"
"60416207185","2019-01-01 12:47:00","2020-12-31 05:16:00"
"6.76373E+11","2019-01-01 00:30:00","2020-12-31 21:01:00"
"6.76369E+11","2019-01-01 10:15:00","2020-12-31 20:45:00"
"6.76327E+11","2019-01-01 06:33:00","2020-12-31 02:01:00"
"6.7631E+11","2019-01-01 14:11:00","2020-12-31 19:44:00"
"6.76314E+11","2019-01-01 20:35:00","2020-12-30 19:25:00"
"6.76308E+11","2019-01-01 20:37:00","2020-12-31 15:58:00"
"6.76299E+11","2019-01-01 06:50:00","2020-12-31 23:33:00"
"6.76292E+11","2019-01-03 13:50:00","2020-12-30 14:54:00"
"6.76282E+11","2019-01-01 09:16:00","2020-12-31 20:43:00"
"6.76276E+11","2019-01-01 11:06:00","2020-12-31 17:49:00"
"6.76248E+11","2019-01-01 05:59:00","2020-12-31 17:39:00"
"6.76246E+11","2019-01-01 01:36:00","2020-12-31 00:06:00"
"6.76234E+11","2019-01-01 10:08:00","2020-12-30 20:50:00"
"6.76195E+11","2019-01-01 03:16:00","2020-12-31 22:54:00"
"6.7618E+11","2019-09-28 00:16:00","2019-09-29 23:46:00"
"6.76174E+11","2019-01-01 06:47:00","2020-12-31 21:19:00"
"6.76149E+11","2019-01-01 18:15:00","2020-12-31 10:44:00"
"6.76118E+11","2019-01-03 21:19:00","2020-12-31 20:58:00"
"6.76102E+11","2019-01-01 15:59:00","2020-12-31 21:34:00"
"6.7599E+11","2019-01-01 08:12:00","2020-12-31 23:19:00"
"6.75962E+11","2019-01-01 17:19:00","2020-12-29 16:11:00"
