"cc_num","fraud_before","fraud_after"
"1.80011E+14","0.00","0.77"
"1.80014E+14","1.64","0.00"
"1.80017E+14","1.21","0.00"
"1.80018E+14","0.00","0.00"
"1.80021E+14",NULL,"100.00"
"1.80031E+14","0.75","0.00"
"1.80036E+14","0.53","0.00"
"1.80038E+14","100.00",NULL
"1.80043E+14","0.54","0.00"
"1.80046E+14","0.00","2.33"
"1.80047E+14","0.92","0.59"
"1.80048E+14","0.00","0.89"
"1.80049E+14","0.80","0.00"
"1.8004E+14","2.54","3.99"
"1.80053E+14",NULL,"100.00"
"1.80056E+14","1.07","0.00"
"1.80059E+14","2.82","0.00"
"1.80065E+14","0.89","0.00"
"1.80067E+14","0.80","0.00"
"1.80068E+14","1.19","0.00"
"1.80069E+14","1.20","0.00"
"1.80073E+14","0.00","0.00"
"1.80081E+14","0.67","0.00"
"1.80085E+14","1.02","0.55"
"1.80094E+14","0.18","0.00"
"1.80095E+14","3.13","0.00"
"1.80099E+14",NULL,"100.00"
"2.13103E+14","0.00","1.73"
"2.13107E+14","0.00","0.00"
"2.13112E+14","0.00","1.03"
"2.13113E+14","0.72","0.88"
"2.13114E+14","0.91","0.00"
"2.13125E+14","0.55","0.00"
"2.13126E+14","0.97","0.00"
"2.13127E+14","0.64","0.00"
"2.1312E+14","0.51","0.00"
"2.13137E+14","2.96","0.00"
"2.13142E+14","0.14","0.00"
"2.13148E+14","0.75","0.00"
"2.13153E+14","0.00","0.00"
"2.13155E+14","0.00","0.00"
"2.13156E+14","1.72","0.00"
"2.13157E+14","0.00","0.72"
"2.13158E+14","0.75","0.00"
"2.13161E+14","0.00","1.30"
"2.13162E+14","0.78","0.00"
"2.13164E+14","0.00","0.00"
"2.13174E+14","1.08","0.00"
"2.13175E+14","0.00","0.00"
"2.13179E+14","0.27","0.00"
"2.13181E+14","0.00","1.43"
"2.13186E+14","0.00","0.00"
"2.13187E+14","2.07","0.00"
"2.13191E+14","0.00","0.00"
"2.13194E+14","0.54","0.00"
"2.13196E+14","0.73","0.00"
"2.13199E+14","0.00","0.00"
"2.132E+14","0.00","0.87"
"2.22216E+15","0.00","2.64"
"2.222E+15","0.00","0.00"
"2.2241E+15","0.00","0.00"
"2.22767E+15","4.08","0.00"
"2.22938E+15","0.00","1.54"
"2.22982E+15","0.00","0.00"
"2.23119E+15","0.00","0.00"
"2.23388E+15","0.00","0.93"
"2.23534E+15","2.07","0.00"
"2.23561E+15","0.00","0.65"
"2.24218E+15",NULL,"100.00"
"2.24254E+15","0.73","0.00"
"2.24835E+15","2.05","0.00"
"2.24874E+15","0.34","0.00"
"2.25206E+15","0.54","0.00"
"2.2548E+15","0.00","0.38"
"2.25492E+15","0.53","0.00"
"2.25623E+15","1.36","0.00"
"2.2608E+15","2.31","0.00"
"2.26494E+15","0.48","0.00"
"2.26674E+15","0.61","0.00"
"2.26822E+15","0.00","1.12"
"2.26977E+15","0.87","0.00"
"2.27491E+15","1.89","0.00"
"2.28087E+15","0.00","0.00"
"2.28374E+15","0.70","0.00"
"2.28406E+15","0.00","2.49"
"2.28507E+15","0.00","0.00"
"2.28624E+15","0.00","0.60"
"2.28728E+15","100.00",NULL
"2.28875E+15","3.15","0.00"
"2.28881E+15","0.63","0.00"
"2.29116E+15","1.07","0.00"
"2.29596E+15","100.00",NULL
"2.29601E+15","0.00","0.00"
"2.29745E+15","0.00","1.26"
"2.30534E+15","0.86","0.00"
"2.31806E+15","0.00","0.00"
"2.34825E+15","0.96","0.00"
"2.35628E+15","1.32","0.00"
"2.35812E+15","0.00","2.89"
"2.38346E+15","0.98","0.00"
"2.45083E+15","1.58","0.00"
"2.45408E+15","0.00","4.25"
"2.47509E+15","0.00","1.38"
"2.51231E+15","1.41","0.00"
"2.57671E+15","0.00","0.00"
"2.61053E+15","3.66","0.00"
"2.65785E+15","1.33","0.00"
"2.70319E+15","0.00","1.02"
"2.70698E+15","0.00","0.00"
"2.71221E+15","0.00","0.32"
"2.71391E+15","0.00","1.11"
"2.71402E+15","0.00","3.13"
"2.7195E+15","1.57","0.00"
"2.72001E+15","0.55","0.00"
"2.72043E+15","0.70","0.00"
"2.72083E+15","1.35","0.00"
"2.72089E+15","1.47","0.00"
"3.00115E+13","0.00","5.50"
"3.00268E+13","0.00","0.00"
"3.00291E+13","0.00","1.09"
"3.00304E+13","0.61","0.00"
"3.00332E+13","0.00","2.45"
"3.00424E+13","0.00","3.56"
"3.00443E+13","0.65","0.00"
"3.00747E+13","1.07","0.00"
"3.0082E+13","0.79","0.00"
"3.0093E+13","0.00","1.01"
"3.01031E+13","0.00","0.00"
"3.01184E+13","0.47","0.00"
"3.01318E+13","0.64","0.00"
"3.01352E+13","0.97","0.00"
"3.01435E+13","0.00","0.00"
"3.01437E+13","1.41","0.00"
"3.01507E+13","0.00","0.00"
"3.01535E+13","0.00","0.00"
"3.0176E+13","0.00","0.00"
"3.01814E+13","1.04","0.00"
"3.01974E+13","0.00","1.15"
"3.01996E+13","0.00","1.16"
"3.02305E+13","0.96","0.00"
"3.02353E+13","0.00","1.12"
"3.02354E+13","0.00","0.84"
"3.0235E+13","0.38","0.00"
"3.02388E+13","0.00","0.78"
"3.02429E+13","0.00","1.32"
"3.02489E+13","1.22","0.00"
"3.02635E+13","0.00","0.00"
"3.0267E+13","0.00","0.87"
"3.02704E+13","0.00","0.91"
"3.0273E+13","0.40","0.00"
"3.02906E+13","0.00","1.25"
"3.03284E+13","0.44","0.00"
"3.03433E+13","0.00","0.00"
"3.03447E+13","1.19","0.00"
"3.03574E+13","0.00","3.02"
"3.03603E+13","1.39","0.00"
"3.03641E+13","1.06","0.00"
"3.0371E+13","1.26","0.00"
"3.03738E+13","2.37","0.00"
"3.03762E+13","0.00","2.19"
"3.04043E+13","0.76","0.00"
"3.04077E+13","0.47","0.00"
"3.04083E+13","0.00","0.00"
"3.0427E+13","1.05","0.00"
"3.04282E+13","0.62","0.00"
"3.04342E+13","0.00","3.09"
"3.04424E+13","1.24","0.00"
"3.0446E+13","0.00","0.00"
"3.04876E+13","0.00","2.24"
"3.04913E+13","0.00","2.23"
"3.04997E+13","100.00",NULL
"3.05016E+13","0.99","0.00"
"3.05109E+13","0.00","4.76"
"3.05182E+13","0.95","0.64"
"3.05411E+13","0.00","2.70"
"3.05465E+13","0.00","2.14"
"3.05516E+13","0.00","0.47"
"3.05606E+13","0.00","1.45"
"3.05612E+13","0.58","0.00"
"3.05702E+13","0.00","3.37"
"3.05965E+13","2.40","0.00"
"3.40103E+14","0.92","0.00"
"3.40187E+14","100.00",NULL
"3.40951E+14","0.98","0.00"
"3.40954E+14","0.64","0.00"
"3.41283E+14","0.00","1.95"
"3.41543E+14","0.00","2.58"
"3.41546E+14","1.31","0.00"
"3.42036E+14","3.18","0.00"
"3.4232E+14","0.00","0.00"
"3.42351E+14","0.45","0.00"
"3.4236E+14","3.96","0.00"
"3.42952E+14","0.00","0.72"
"3.43464E+14","0.73","0.00"
"3.43473E+14","1.09","0.00"
"3.43669E+14","0.00","1.29"
"3.43746E+14","0.00","1.16"
"3.43819E+14","0.00","2.37"
"3.44342E+14","0.00","1.02"
"3.4471E+14","0.63","0.00"
"3.4506E+14","1.19","0.00"
"3.45226E+14","100.00",NULL
"3.45389E+14","0.00","0.89"
"3.45832E+14","0.00","0.00"
"3.45934E+14","0.49","0.00"
"3.46208E+14","2.34","0.00"
"3.46244E+14","0.00","3.34"
"3.46273E+14","0.16","0.00"
"3.47073E+14","1.16","0.00"
"3.47399E+14",NULL,"100.00"
"3.47613E+14","3.46","0.00"
"3.48254E+14","0.00","2.88"
"3.48379E+14","0.00","0.00"
"3.4879E+14","0.00","0.00"
"3.49613E+14","0.00","1.62"
"3.49813E+14","100.00",NULL
"3.50017E+15","0.00","2.60"
"3.50097E+15","0.89","0.00"
"3.50137E+15","0.00","3.85"
"3.50151E+15","0.59","0.00"
"3.50194E+15","0.00","1.43"
"3.50209E+15","0.00","0.00"
"3.50238E+15","1.00","0.00"
"3.50418E+15","0.00","0.00"
"3.50604E+15","1.24","0.00"
"3.50659E+15","0.00","0.00"
"3.5081E+15","1.45","0.00"
"3.51106E+15","2.43","0.00"
"3.51138E+15","0.60","0.00"
"3.51237E+15","0.56","0.00"
"3.51329E+15","0.00","0.00"
"3.51351E+15","0.00","2.19"
"3.51362E+15","0.28","0.00"
"3.51487E+15","0.00","1.08"
"3.5149E+15","0.00","1.10"
"3.51753E+15","1.26","0.00"
"3.51781E+15","1.50","0.00"
"3.51823E+15","0.00","0.16"
"3.51867E+15","0.88","0.00"
"3.51876E+15","0.81","0.00"
"3.51923E+15","1.98","0.00"
"3.51961E+15","1.06","0.00"
"3.52055E+15","2.78","0.00"
"3.52126E+15","100.00",NULL
"3.52142E+15","0.27","0.00"
"3.52182E+15","0.00","0.00"
"3.52384E+15","0.97","0.00"
"3.5239E+15","0.55","0.00"
"3.52449E+15","100.00",NULL
"3.52457E+15","0.00","1.14"
"3.52559E+15","0.47","0.00"
"3.52567E+15","0.00","2.08"
"3.52683E+15","0.76","0.00"
"3.52706E+15","0.00","4.64"
"3.52754E+15","0.00","0.00"
"3.52804E+15",NULL,"100.00"
"3.52823E+15","0.00","2.83"
"3.52841E+15","0.00","0.00"
"3.5296E+15","0.75","0.00"
"3.52979E+15",NULL,"100.00"
"3.5305E+15","0.00","4.07"
"3.53113E+15","0.70","0.00"
"3.53161E+15","0.00","0.00"
"3.53301E+15","0.46","0.00"
"3.53318E+15","0.00","2.09"
"3.53374E+15","0.53","0.00"
"3.5338E+15","1.19","0.00"
"3.53409E+15","4.12","0.00"
"3.53433E+15","0.00","1.19"
"3.53472E+15","1.34","0.00"
"3.53581E+15","0.00","1.02"
"3.53682E+15","2.89","0.00"
"3.53692E+15","2.41","0.00"
"3.5378E+15","3.58","0.00"
"3.53852E+15","0.00","0.00"
"3.54002E+15","0.00","3.04"
"3.54008E+15","0.00","0.84"
"3.54021E+15","0.89","0.00"
"3.54042E+15",NULL,"100.00"
"3.54086E+15","3.23","0.00"
"3.54116E+15","0.59","0.00"
"3.54155E+15","2.99","0.00"
"3.54169E+15","3.12","0.00"
"3.54216E+15","3.02","0.00"
"3.54283E+15",NULL,"100.00"
"3.5433E+15","0.00","2.20"
"3.54359E+15","0.59","0.00"
"3.54389E+15","100.00",NULL
"3.54461E+15","3.72","0.00"
"3.54511E+15","0.00","0.86"
"3.54558E+15","100.00",NULL
"3.54644E+15","100.00",NULL
"3.54667E+15","0.00","0.38"
"3.5469E+15","0.27","0.00"
"3.54734E+15","100.00",NULL
"3.54756E+15","0.62","0.00"
"3.54757E+15","1.23","0.00"
"3.54871E+15","100.00",NULL
"3.5492E+15","0.00","0.00"
"3.55041E+15",NULL,"100.00"
"3.55055E+15","1.99","0.00"
"3.55122E+15","0.14","0.00"
"3.55151E+15","0.00","1.34"
"3.55258E+15","0.87","0.00"
"3.55363E+15","0.40","0.00"
"3.55442E+15","100.00",NULL
"3.55482E+15","3.37","0.00"
"3.55485E+15","0.93","0.00"
"3.55661E+15","0.86","0.00"
"3.55744E+15","3.59","0.00"
"3.55865E+15","0.00","0.00"
"3.55888E+15","1.17","0.00"
"3.55916E+15","0.00","0.00"
"3.55968E+15","1.15","0.00"
"3.55972E+15","0.00","0.00"
"3.56025E+15","2.12","0.00"
"3.56032E+15","0.00","0.00"
"3.56034E+15","0.00","2.02"
"3.56073E+15","0.00","0.19"
"3.5607E+15","0.00","0.00"
"3.5608E+15","0.48","0.00"
"3.56121E+15","0.00","0.00"
"3.56196E+15","0.97","0.00"
"3.56226E+15","3.62","0.00"
"3.56268E+15","1.55","0.00"
"3.56384E+15","0.00","1.67"
"3.56418E+15","0.00","1.81"
"3.56484E+15","0.34","0.00"
"3.5652E+15","1.51","0.00"
"3.56541E+15","0.00","0.00"
"3.56542E+15","1.18","0.00"
"3.56594E+15","3.44","0.00"
"3.56609E+15","0.14","0.00"
"3.56637E+15","1.37","0.00"
"3.56688E+15","0.00","0.00"
"3.566E+15","0.00","0.00"
"3.56753E+15","1.61","0.00"
"3.5677E+15","0.00","0.00"
"3.56788E+15","1.00","0.00"
"3.56826E+15","0.00","0.00"
"3.56874E+15","0.00","0.00"
"3.57298E+15","0.00","0.00"
"3.57303E+15","0.00","0.00"
"3.57339E+15","0.00","1.32"
"3.57554E+15","1.45","0.00"
"3.57579E+15","0.49","0.00"
"3.57602E+15","0.00","0.00"
"3.57614E+15","0.00","0.00"
"3.57628E+15","0.00","3.42"
"3.57643E+15","0.09","0.00"
"3.57651E+15","1.88","0.00"
"3.57758E+15","0.00","0.57"
"3.57766E+15","2.72","0.00"
"3.5776E+15","0.00","0.00"
"3.57779E+15","0.00","2.91"
"3.5792E+15","0.00","2.99"
"3.58113E+15","0.00","3.37"
"3.5824E+15","0.00","3.35"
"3.58275E+15","0.00","0.00"
"3.58309E+15","2.79","0.00"
"3.58329E+15","0.00","0.00"
"3.58364E+15","0.00","0.00"
"3.58379E+15","0.00","0.75"
"3.58505E+15","0.00","2.42"
"3.58574E+15","0.72","0.00"
"3.58601E+15","0.00","0.88"
"3.58696E+15","0.00","1.88"
"3.58704E+15","0.00","1.53"
"3.58796E+15","0.82","0.00"
"3.588E+15",NULL,"100.00"
"3.58926E+15","0.00","0.92"
"3.58929E+15","0.00","0.52"
"3.59074E+15","0.36","0.00"
"3.59192E+15","0.00","1.29"
"3.59233E+15","0.00","0.00"
"3.59293E+15","1.22","0.00"
"3.59312E+15","0.00","0.79"
"3.5934E+15","2.86","0.00"
"3.59511E+15","1.32","0.00"
"3.59519E+15","0.65","0.00"
"3.59622E+15","0.00","0.90"
"3.59636E+15","0.00","0.70"
"3.59734E+15","1.23","0.00"
"3.59793E+15","0.00","1.39"
"3.59798E+15","2.45","0.00"
"3.59801E+15","0.00","0.00"
"3.59822E+15","0.39","0.00"
"3.5983E+15","0.00","0.94"
"3.59863E+15","2.66","0.00"
"3.5989E+15","2.08","0.00"
"3.59924E+15","1.53","0.00"
"3.60781E+13","0.00","0.00"
"3.61539E+13","1.30","0.00"
"3.61926E+13","3.25","0.00"
"3.63605E+13","1.93","0.00"
"3.64859E+13","0.52","0.00"
"3.65815E+13","0.00","3.45"
"3.67214E+13","1.34","0.00"
"3.67227E+13","0.00","0.00"
"3.68903E+13","0.00","0.00"
"3.69136E+13","0.00","0.37"
"3.70349E+14","0.00","1.67"
"3.70612E+14","0.00","1.82"
"3.70819E+14","0.96","0.00"
"3.70877E+14","0.36","0.00"
"3.71009E+14","0.98","0.00"
"3.71034E+14","0.00","1.90"
"3.71226E+14","0.81","0.00"
"3.71284E+14","0.88","0.00"
"3.71683E+14","2.68","0.00"
"3.71985E+14","0.00","0.94"
"3.72246E+14","0.96","0.00"
"3.72382E+14","0.00","1.63"
"3.72509E+14","0.00","0.50"
"3.7252E+14","0.29","0.00"
"3.72965E+14",NULL,"100.00"
"3.73043E+14","1.18","0.00"
"3.73213E+14","2.78","0.00"
"3.73905E+14","0.68","0.00"
"3.74125E+14","0.00","1.28"
"3.74238E+14","1.70","0.00"
"3.74498E+14","0.00","1.04"
"3.74656E+14","0.72","0.00"
"3.74822E+14","0.00","0.00"
"3.7493E+14","0.00","0.76"
"3.75083E+14","0.00","1.33"
"3.75237E+14","0.00","3.92"
"3.75248E+14","0.00","0.00"
"3.75534E+14","0.00","1.20"
"3.75623E+14",NULL,"100.00"
"3.75768E+14","0.73","0.00"
"3.75849E+14","0.98","0.00"
"3.75905E+14","0.80","0.00"
"3.75975E+14","0.00","1.39"
"3.76013E+14","0.00","1.27"
"3.76028E+14","0.54","0.00"
"3.76262E+14","1.18","0.00"
"3.76445E+14","0.00","0.96"
"3.76657E+14","0.00","1.54"
"3.76944E+14","0.00","3.46"
"3.77027E+14","0.00","0.75"
"3.77114E+14","0.47","0.00"
"3.77234E+14","0.88","0.00"
"3.77265E+14","2.11","0.00"
"3.7755E+14","0.00","1.42"
"3.77655E+14","0.65","0.00"
"3.77835E+14","0.00","3.42"
"3.77896E+14","1.46","0.00"
"3.77993E+14","0.79","0.00"
"3.78006E+14","0.00","4.46"
"3.78263E+14","100.00",NULL
