"cc_num","transaction_count","total_amount","fraud_count","fraud_rate_pct"
"3.54558E+15","7","3595.25","7","100.00"
"5.30165E+15","11","4175.17","11","100.00"
"4.25711E+18","10","4693.06","10","100.00"
"4.35231E+18","7","4253.58","7","100.00"
"4.24352E+18","9","4944.02","9","100.00"
"1.80053E+14","12","8308.80","12","100.00"
"4.41768E+15","11","8082.66","11","100.00"
"4.20424E+15","13","6751.81","13","100.00"
"1.80099E+14","12","6463.80","12","100.00"
"4.18019E+18","11","5113.92","11","100.00"
"1.80038E+14","10","6697.65","10","100.00"
"4.1687E+15","15","10404.97","15","100.00"
"4.16287E+18","10","6950.25","10","100.00"
"4.45749E+12","10","6263.21","10","100.00"
"4.15721E+15","8","4831.61","8","100.00"
"4.48117E+18","8","4715.73","8","100.00"
"4.08754E+15","9","4175.17","9","100.00"
"6.7618E+11","11","8247.53","11","100.00"
"4.07617E+12","12","7807.28","12","100.00"
"4.49268E+15","11","5764.55","11","100.00"
"4.2953E+12","6","4272.48","6","100.00"
"3.88175E+13","8","3023.40","8","100.00"
"3.85342E+13","9","4908.57","9","100.00"
"2.24218E+15","10","6868.06","10","100.00"
"6.57778E+15","7","6121.54","7","100.00"
"3.78263E+14","11","7229.89","11","100.00"
"4.59357E+12","19","8431.93","19","100.00"
"4.59803E+12","9","4404.16","9","100.00"
"3.75623E+14","10","3273.02","10","100.00"
"4.62913E+12","12","8511.91","12","100.00"
"2.28728E+15","9","4539.62","9","100.00"
"2.29596E+15","10","6807.75","10","100.00"
"3.72965E+14","10","8598.82","10","100.00"
"4.65963E+18","12","8131.43","12","100.00"
"4.66956E+15","10","7323.65","10","100.00"
"6.51778E+15","11","7066.92","11","100.00"
"6.50025E+15","9","7192.92","9","100.00"
"4.71402E+18","7","4900.65","7","100.00"
"4.73431E+15","7","2494.25","7","100.00"
"3.588E+15","14","11641.22","14","100.00"
"6.01194E+15","11","10437.00","11","100.00"
"6.01183E+15","9","4630.44","9","100.00"
"6.01173E+15","7","5671.95","7","100.00"
"4.84424E+12","10","5858.01","10","100.00"
"4.88341E+12","9","6267.82","9","100.00"
"4.91182E+18","9","4817.48","9","100.00"
"3.55442E+15","8","1348.53","8","100.00"
"3.55041E+15","11","7988.02","11","100.00"
"3.54871E+15","12","8350.56","12","100.00"
"3.54734E+15","11","6462.60","11","100.00"
"4.97546E+12","7","4008.75","7","100.00"
"3.54644E+15","12","5098.57","12","100.00"
"3.04997E+13","12","7045.77","12","100.00"
"3.54389E+15","11","8564.29","11","100.00"
"3.54283E+15","10","4976.26","10","100.00"
"3.40187E+14","7","1496.10","7","100.00"
"3.54042E+15","8","3671.14","8","100.00"
"5.86101E+11","12","9874.94","12","100.00"
"5.01851E+11","15","6467.81","15","100.00"
"5.77891E+11","12","8789.74","12","100.00"
"3.45226E+14","10","6149.41","10","100.00"
"5.01895E+11","7","3741.75","7","100.00"
"3.52979E+15","10","4788.19","10","100.00"
"3.47399E+14","10","4709.98","10","100.00"
"3.52804E+15","11","5007.60","11","100.00"
"3.49813E+14","8","6737.85","8","100.00"
"5.03851E+11","10","4729.57","10","100.00"
"1.80021E+14","12","7993.74","12","100.00"
"3.52449E+15","11","5342.77","11","100.00"
"5.14404E+15","10","7068.08","10","100.00"
"3.52126E+15","15","9384.03","15","100.00"
"1.8004E+14","656","54484.42","21","3.20"
