"cc_num","transaction_count","fraud_count","fraud_rate_pct","total_amount","fraud_amount"
"1.8004E+14","656","21","3.20","54484.42","16316.79"
"2.13161E+14","3795","21","0.55","258112.45","14603.68"
"2.13174E+14","3781","24","0.63","247840.13","13622.40"
"3.50604E+15","3169","23","0.73","243063.39","13384.54"
"3.52055E+15","1261","19","1.51","96751.14","12011.59"
"4.59929E+15","1241","19","1.53","96826.08","12002.06"
"3.588E+15","14","14","100.00","11641.22","11641.22"
"1.80085E+14","2569","21","0.82","181321.73","11027.83"
"4.63307E+15","641","15","2.34","47901.51","10994.76"
"6.53844E+15","3777","18","0.48","294085.19","10956.00"
